2025-07-22 19:01:36 | INFO     | src.scraper.sources.bbc_scraper:scrape_source - ✅ Successfully scraped: Food bills on course to rise b...
2025-07-22 19:01:36 | DEBUG    | src.scraper.base_scraper:_rate_limit - Rate limiting: waiting 2.54 seconds
2025-07-22 19:01:38 | INFO     | src.scraper.sources.bbc_scraper:scrape_source - Processing article: Elvis experience costing up to £300 branded 'atroc...
2025-07-22 19:01:38 | INFO     | src.scraper.sources.bbc_scraper:scrape_source - ✅ Successfully scraped: Elvis experience costing up to...
2025-07-22 19:01:38 | DEBUG    | src.scraper.base_scraper:_rate_limit - Rate limiting: waiting 2.24 seconds
2025-07-22 19:01:41 | SUCCESS  | __main__:test_bbc_scraper - ✅ Successfully scraped 5 articles from BBC
2025-07-22 19:01:41 | INFO     | __main__:test_bbc_scraper - 📄 Sample Article:
2025-07-22 19:01:41 | INFO     | __main__:test_bbc_scraper -   Title: Union boss McCluskey took private jet flights arranged by building firm, report finds
2025-07-22 19:01:41 | INFO     | __main__:test_bbc_scraper -   URL: https://www.bbc.com/news/articles/cp3kgg55410o
2025-07-22 19:01:41 | INFO     | __main__:test_bbc_scraper -   Author: None
2025-07-22 19:01:41 | INFO     | __main__:test_bbc_scraper -   Source: BBC News
2025-07-22 19:01:41 | INFO     | __main__:test_bbc_scraper -   Scraped: 2025-07-22 19:01:28.239473
2025-07-22 19:01:41 | INFO     | src.scraper.base_scraper:save_articles - Saved 5 articles to output\bbc_test_articles.json
2025-07-22 19:01:41 | SUCCESS  | __main__:test_bbc_scraper - 💾 Articles saved to: output\bbc_test_articles.json
2025-07-22 19:01:41 | SUCCESS  | __main__:main - ✅ Scraping completed successfully!
2025-07-22 19:01:41 | INFO     | __main__:main - 👋 ByteBrief News Scraper finished
